Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2025
Darebin,3078,Alphington,A Crimes against the person,A80 Dangerous and negligent acts endangering people,2
Darebin,3083,Bundoora,F Other offences,F30 Other government regulatory offences,2
Darebin,3085,Macleod,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",2
Darebin,3070,Northcote,F Other offences,F20 Transport regulation offences,2
Darebin,3078,Alphington,A Crimes against the person,A20 Assault and related offences,2
Darebin,3083,Bundoora,A Crimes against the person,A50 Robbery,2
Darebin,3078,Alphington,D Public order and security offences,D10 Weapons and explosives offences,2
Darebin,3078,Alphington,A Crimes against the person,A50 Robbery,2
Darebin,3072,Preston,F Other offences,F90 Miscellaneous offences,2
Darebin,3078,Fairfield,B Property and deception offences,B10 Arson,2
Darebin,3071,Thornbury,C Drug offences,C10 Drug dealing and trafficking,2
Darebin,3083,Kingsbury,C Drug offences,C10 Drug dealing and trafficking,2
Darebin,3078,Fairfield,D Public order and security offences,D20 Disorderly and offensive conduct,2
Darebin,3078,Alphington,D Public order and security offences,D20 Disorderly and offensive conduct,1
Darebin,3078,Fairfield,C Drug offences,C10 Drug dealing and trafficking,1
Darebin,3072,Preston,F Other offences,F20 Transport regulation offences,1
Darebin,3085,Macleod,D Public order and security offences,D30 Public nuisance offences,1
Darebin,3078,Fairfield,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
Darebin,3078,Alphington,C Drug offences,C20 Cultivate or manufacture drugs,1
Darebin,3071,Thornbury,F Other offences,F20 Transport regulation offences,1
Darebin,3078,Alphington,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
Darebin,3073,Reservoir,F Other offences,F30 Other government regulatory offences,1
Darebin,3083,Kingsbury,D Public order and security offences,D20 Disorderly and offensive conduct,1
Darebin,3083,Kingsbury,C Drug offences,C20 Cultivate or manufacture drugs,1
Darebin,3078,Fairfield,D Public order and security offences,D10 Weapons and explosives offences,1
Darebin,3078,Alphington,B Property and deception offences,B10 Arson,1
Darebin,3083,Bundoora,D Public order and security offences,D40 Public security offences,1
Darebin,3078,Fairfield,F Other offences,F20 Transport regulation offences,1
Darebin,3085,Macleod,E Justice procedures offences,E10 Justice procedures,1
Darebin,3070,Northcote,C Drug offences,C10 Drug dealing and trafficking,1
Darebin,3073,Reservoir,F Other offences,F20 Transport regulation offences,1
Darebin,3085,Macleod,A Crimes against the person,Other crimes against the person,1
